Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,20000,3,20000,327,66,18000,306,30000,45,30000,54,,,0,20000,,,0,,,0,16250,149,20000,299,49,16200,241,6777.080078125,3,16200,3,,,0,29525,8,29900,34,4,20000,24
ABH,,,57800,29,57700,1327,2,53000,1005,61200,10,60000,1068,40,52000,127,53000,10,55000,10,,,0,51000,274,51000,868,280,48600,1279,24111.880859375,27,65000,27,,,0,55400,3,55400,732,40,52000,404
ACS,,,152466.28125,48,159000,49,10,140000,10,160000,16,163000,71,7,160000,39,74706.546875,,,0,,,0,159333.328125,9,160000,35,10,150000,10,124000,,,0,,,0,159000,18,159000,20,1,151000,5
ADE,,,61500,50,61200,777,2,51000,1399,51927.87890625,52,59000,1007,29,37500,44,47000,,,0,,,0,50100,78,58000,1432,245,50100,789,21239.529296875,26,60000,26,,,0,62875,71,63000,71,6,45300,1078
ADR,70000,,71300,5,125000,55,46,71300,166,110000,14,110000,108,1,86000,151,60000,,,0,,,0,89472.859375,17,100000,67,1,75000,111,29140.779296875,,,0,,,0,90000,1,90000,11,50,72200,180
ADS,,,140000,34,140000,71,2,116000,19,145612.875,4,160000,4,9,104000,22,250000,,,0,,,0,113000,1,138000,36,9,113000,22,55163.26953125,1,128000,1,,,0,150000,10,150000,109,3,125000,24
AEF,,,6280,10,6280,3160,165,5850,1635,6690,208,6690,1622,160,5650,1085,40,76,9000,228,,,0,5800,19,8800,1661,19,5800,812,10000,10,10000,384,,,0,4500,69,4500,2636,180,4250,2996
AEN,,,2240000,2,2170000,4,,,0,2120000,4,2130000,7,,,0,990267,,,0,,,0,2290000,1,2290000,2,2,1200000,4,990267,,,0,,,0,2600000,1,2700000,1,,,0
AFP,,,30000,,,0,,,0,30000,,,0,,,0,134412.703125,,,0,,,0,30000,,,0,16,40000,16,134412.703125,,,0,,,0,35000,,,0,3,35000,3
AFR,,,27000,1,27500,26,100,22000,277,20500,,,0,26,20500,178,9504.2998046875,,,0,,,0,21000,,,0,10,18000,30,9504.2998046875,,,0,,,0,22731.080078125,,,0,21,22500,54
AGS,,,490000,1,490000,5,,,0,480000,4,535000,5,,,0,500000,,,0,,,0,795000,6,750000,7,2,450000,2,222767.28125,,,0,,,0,799000,1,799000,2,,,0
AHP,,,11500,200,12000,1600,,,0,14500,24,14900,145,,,0,5713.72021484375,,,0,,,0,9510,16,16000,2737,2,9510,201,5713.72021484375,,,0,,,0,20000,,,0,,,0
AIR,200000,,200000,10,201000,101,100,200000,100,200000,9,201000,550,100,200000,100,91179.59375,,,0,,,0,200000,2,201000,261,100,200000,100,91179.59375,,,0,,,0,200000,26,210000,30,100,200000,100
AL,,,1500,40,1510,38857,1588,1500,43393,1600,37,1590,13095,300,1430,24702,1100,43,1350,8425,2862,1100,8867,1600,232,1600,55703,195,1450,26022,1013.989990234375,2000,1000,10939,,,0,1796.4599609375,2000,1700,34325,10,1440,6425
ALE,,,1400,507,1400,56055,1000,1320,6000,1500,536,1500,11684,75,1330,1427,1700,640,1700,840,,,0,1460,953,1460,43335,1370,1330,8304,1490,1750,1490,2139,50,1200,64,1320,3478,1320,26975,1,1180,4122
ALG,80,,280,326,307,50567,7853,280,18618,340,1086,345,28097,790,340,6055,350,1467,350,1787,,,0,329,3,329,21809,1240,256,3627,316,,,0,1000,200,1000,325,1481,325,24664,9,262,5423
ALO,42,,222,801,248,146043,8540,222,91149,332,599,331,40905,631,215,16707,277.1300048828125,888,400,29601,347,183,10695,335,575,334,119591,844,305,35321,268.1000061035156,1700,290,1700,1000,210,2000,294,1214,294,57353,100,228,43445
ALR,,,1754.8800048828125,300,3000,301,120,700,250,2630.3798828125,343,2490,3179,,,0,1345.4100341796875,,,0,,,0,1110,1192,3150,7933,736,1110,1236,1345.4100341796875,,,0,,,0,3300.949951171875,465,3690,2974,500,1000,500
AMM,61,,160,5000,145,66937,746,120,8040,144,3139,144,90200,4000,125,137464,135,5477,135,5477,2000,100,2000,189,36,189,64341,100,137,45587,160,700,160,700,200,140,5985,193,3716,193,53824,2000,140,30801
ANZ,,,73626.7109375,1,125000,1,,,0,73626.7109375,1,120000,1,,,0,73626.7109375,,,0,,,0,73626.7109375,,,0,,,0,70600.546875,,,0,,,0,73626.7109375,,,0,,,0
APT,,,13981.759765625,50,13900,1651,,,0,19500,77,19500,250,,,0,6945.83984375,,,0,,,0,16500,400,16500,512,,,0,6945.83984375,,,0,,,0,2000,,,0,,,0
AR,83,,511.6000061035156,161,524,35916,471,510,33232,660.6900024414062,2802,657,14645,300,521,15712,450,,,0,1000,350,2000,321,89,480,22134,500,321,8893,700,226,700,1976,400,320,900,534,685,532,44798,200,510,1709
ARP,,,10000,4,9500,103,,,0,10000,5,10000,5,,,0,4648.6201171875,,,0,,,0,8442.330078125,7,8500,10,,,0,4648.6201171875,,,0,,,0,13000,,,0,,,0
ASE,,,53400,61,53300,1696,100,49000,973,51939.578125,10,51500,1713,10,44400,424,55000,17,55000,17,10,33000,10,47900,93,47900,2833,179,45300,541,60000,16,60000,16,,,0,46000,101,54300,817,266,46000,479
AST,,,3196,128,3090,6758,1000,2210,2965,3446.080078125,60,3660,6422,120,3000,620,1776.4000244140625,100,10000,100,,,0,3200,9,3700,8911,98,3200,2471,2000,100,4740,100,,,0,3600,53,3600,2877,100,1500,100
ATA,,,36300,25,36300,159,10,29000,904,34900,6,34600,247,9,21600,365,28000,,,0,,,0,28000,146,28000,1153,113,27000,999,38000,24,38000,24,,,0,31875,27,32000,138,2,26600,138
ATP,,,50000,5,50000,48,2,41000,2,30000,100,49000,200,,,0,12377.2998046875,,,0,,,0,40000,,,0,50,40000,50,12377.2998046875,,,0,,,0,25000,,,0,40,27200,40
AU,,,3060,8,3000,7343,897,2700,5756,3160,24,3130,1955,200,2800,4230,2200,,,0,,,0,2040,78,2370,10894,66,2040,3301,998,26,998,77,,,0,3494.840087890625,108,3500,3381,8,2320,1226
AUO,137,,594,18,595,31563,400,487,10061,530,348,530,1062,360,269,4213,300,295,250,1295,,,0,400,985,400,53079,74,370,10702,280,,,0,,,0,425,1460,425,22892,41,352,4324
AWF,,,5700,7,5700,21,25,4500,114,5680,15,5680,463,20,4000,20,2951.989990234375,,,0,,,0,8000,98,8000,329,49,5000,119,2951.989990234375,5,5950,5,,,0,7400,9,7400,36,,,0
AWH,,,18860.5390625,93,18900,783,,,0,15800,130,24000,140,270,15800,370,8430.919921875,,,0,,,0,20580.869140625,12,20000,94,90,13600,272,8430.919921875,,,0,,,0,25000,,,0,,,0
BAC,,,3490,490,3490,1772,500,3100,2020,3150,1024,3150,1774,500,2800,1600,1280.9100341796875,,,0,,,0,3290,18,3290,1531,500,2600,4278,2250,,,0,,,0,3250,80,3250,195,730,2200,1730
BAI,,,16400,500,16500,2248,316,14700,316,14000,50,15700,406,20,7100,20,6821.509765625,,,0,,,0,16800,5,16800,296,500,14500,500,6821.509765625,,,0,,,0,16243.3798828125,12,16300,41,100,10000,100
BBH,750,2900,2900,100,2900,4011,588,2880,3961,2890,4941,2890,17416,8,2840,1645,2876.18994140625,104,2900,104,164,2800,216,2900,100,2900,9138,88,2890,5087,3000,391,3000,1917,124,2000,124,2890,100,2900,16729,198,2890,1389
BCO,,,740,105,820,19474,2500,740,14919,857,380,857,13882,140,710,7000,660,400,1000,400,200,780,200,680,280,739,29919,600,700,22063,640,,,0,,,0,776,980,775,10919,360,701,6056
BDE,850,2700,2650,100,2700,3885,838,2650,3306,2650,13,2650,4319,32,2030,963,2757.110107421875,149,2800,149,10,879,30,2690,324,2680,5957,244,2650,7344,2700,255,2700,810,90,1800,90,2700,100,2700,601,814,2660,2943
BE,,,2690,19,2690,13341,980,1960,7965,2490,459,2490,1872,230,1900,2913,2900,100,3000,100,,,0,2500,1926,2500,10269,1000,2000,10015,1700,18,1700,18,,,0,4370,67,5000,67,22,2000,2942
BEA,84,,300,7964,350,19918,7800,300,23129,364.95001220703125,1218,340,15223,10,312,12447,250,,,0,,,0,491.3800048828125,952,499,2240,578,302,19888,250,16,400,16,757,250,757,450,193,450,1198,300,351,29129
BER,,,800,1038,800,27206,2000,465,26995,870.469970703125,11,864,7887,4000,400,13053,400,1000,10000,2000,,,0,1200,500,1000,13083,150,455,16823,117.55000305175781,50,551,50,,,0,798.510009765625,117,800,2146,2000,326,7000
BFP,,,26000,8,25000,8,,,0,25000,,,0,,,0,20233.01953125,,,0,,,0,24000,,,0,,,0,20224.419921875,,,0,,,0,25000,,,0,,,0
BFR,,,5173.41015625,11,6000,21,78,4500,78,7000.8701171875,76,8000,113,100,7200,426,2515.4599609375,,,0,,,0,8000,6,8500,6,19,5000,243,2515.4599609375,,,0,,,0,4000,,,0,46,4000,46
BGC,,,800.8900146484375,1585,800,4585,3000,700,5000,800,960,800,3389,1000,700,3457,600,,,0,,,0,747,300,740,7926,2980,700,19026,500,200,650,200,,,0,700,5075,737,12149,962,700,1773
BGO,,,2900,56,3370,13673,90,2900,5030,4352.080078125,7,4480,2836,100,3010,2899,2000,70,3000,70,,,0,2910,13,3190,6444,720,2910,5438,2100,70,2800,167,3,2100,100,3320,136,3290,4337,200,2100,555
BGS,,,214000,1,214000,9,2,60000,2,228000,4,216000,5,,,0,87625.203125,,,0,,,0,250000,1,219000,2,,,0,87625.203125,,,0,,,0,219000,18,220000,18,,,0
BHP,,,5790,64,5790,928,20,5100,1855,5790,40,5790,928,2,5000,1051,1500,,,0,,,0,5500,12,5450,11192,63,5260,3628,5000,31,5000,150,,,0,6340,19,6340,898,12,4700,391
BID,,,70000,24,69900,238,,,0,80000,51,80000,51,,,0,24575.119140625,,,0,,,0,55000,3,70000,253,,,0,24575.119140625,49,70000,49,,,0,80000,7,80000,13,,,0
BL,,,6780,42,6780,822,490,6000,944,7945.580078125,35,7950,236,26,5000,26,4500,,,0,,,0,7411.490234375,6,8490,505,140,4360,402,2986.699951171875,10,7500,10,,,0,6872.330078125,78,6880,423,15,6600,31
BLE,,,2990,100,2980,2162,95,1750,595,2250,34,2250,2316,33,1000,33,1804.3399658203125,,,0,,,0,1980.5699462890625,189,2090,3354,253,1400,1391,1804.3399658203125,10,2300,10,,,0,2200,60,2190,752,5,220,5
BMF,,,32051.109375,17,32900,604,112,28000,612,33500,55,34000,374,226,28000,226,10946.0302734375,,,0,5,22000,5,28000,286,31000,616,103,28000,173,60000,29,60000,29,,,0,32500,8,32500,393,1,20000,1
BND,,,230,122,230,123,,,0,325,75,325,75,,,0,270.1499938964844,,,0,,,0,323,,,0,10,150,10,500,,,0,,,0,155,,,0,,,0
BOR,,,449.1499938964844,284,449,22664,500,175,5000,305.1000061035156,10,275,4223,143,230,2769,300,,,0,300,225,300,350,3674,350,45834,25,255,10811,350,100,280,512,50,130,250,416.0299987792969,1091,800,1091,20,230,2021
BOS,,,7357.18017578125,827,7990,1827,167,3900,614,4165.8701171875,,,0,196,4100,984,3250,,,0,,,0,5993.0400390625,65,5980,667,500,4510,4540,1909.1700439453125,50,4350,50,,,0,4950,37,7000,37,20,3800,570
BPT,,,14000,3,14000,115,,,0,4380,,,0,,,0,2208.169921875,,,0,,,0,10000,546,10000,1642,,,0,2208.169921875,,,0,,,0,9000,34,9000,68,,,0
BR1,,,818299.0625,1,750000,47,1,700000,1,962000,1,963000,9,2,680000,4,1300000,,,0,,,0,935000,1,890000,8,1,500000,1,254764.78125,,,0,,,0,1031266.9375,1,1300000,1,1,450000,1
BR2,,,994363,1,994000,25,1,900000,1,972000,1,973000,6,,,0,1300000,,,0,,,0,1040000,1,1030000,8,,,0,341875.34375,,,0,,,0,1170000,1,1180000,2,1,900000,1
BRM,,,255,1898,255,27765,2900,205,6260,318,1804,318,13193,150,275,3250,377.3500061035156,780,420,780,200,250,1200,220,1195,220,17600,50,191,22030,250,420,250,420,,,0,311.9700012207031,325,369,3004,5000,270,6750
BRO,,,2200,577,3450,4715,399,2200,412,8990,415,4490,998,500,2800,828,2500,,,0,,,0,3688.419921875,37,3940,874,39,2600,2411,830.0499877929688,,,0,,,0,8000,80,7500,366,50,4000,1137
BRP,,,8000,,,0,,,0,4000,,,0,,,0,2661.340087890625,,,0,,,0,5500,151,7500,151,,,0,2661.340087890625,,,0,,,0,7500,56,7500,56,,,0
BRS,,,450000,1,572000,7,1,400000,4,600000,3,586000,5,,,0,128580.3203125,,,0,,,0,579000,1,579000,2,1,500000,3,128580.3203125,,,0,,,0,590000,1,999000,2,1,500000,7
BSC,,,50800,48,50800,1170,30,45200,188,54000,142,54000,802,20,45000,20,14494.900390625,,,0,,,0,52000,181,52000,381,,,0,14494.900390625,1,52000,1,,,0,54868.2890625,119,54900,119,,,0
BSE,425,1900,1900,100,1900,59991,962,1890,11537,1880,83,1880,97401,20,1770,588,2000,52,2000,329,3,1600,49,1900,100,1900,46168,20,1880,12743,2000,271,2000,2282,202,1000,202,1900,100,1900,76675,706,1890,4136
