Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,20000,3,20000,327,66,18000,306,34800,50,30000,59,,,0,20000,,,0,,,0,20000,149,20000,299,50,16200,242,6777.080078125,3,16200,3,,,0,29000,1,29000,37,1,17000,20
ABH,,,54842.30859375,43,55000,1135,245,52700,1051,62200,24,61300,712,40,52000,127,53000,10,55000,10,,,0,51000,34,50900,1096,280,48600,1279,24111.880859375,27,65000,27,,,0,55400,34,55400,763,40,52000,404
ACS,,,159000,48,159000,49,10,140000,10,160000,16,163000,71,7,160000,39,74706.546875,,,0,,,0,159000,5,159000,41,10,150000,10,124000,,,0,,,0,159000,18,159000,20,1,151000,5
ADE,,,62600,60,62200,473,200,50800,1421,42100,4,59200,935,29,37500,44,47000,,,0,,,0,50100,78,58500,1340,412,50100,956,21239.529296875,26,60000,26,,,0,61000,43,61000,118,250,45200,1078
ADR,70000,,71300,5,125000,55,46,71300,166,110000,18,110000,112,1,86000,151,60000,,,0,,,0,99500,17,100000,67,1,75000,111,29140.779296875,,,0,,,0,90000,1,90000,11,50,72200,180
ADS,,,140000,35,140000,72,2,116000,19,160000,4,160000,4,9,104000,22,250000,,,0,,,0,138000,1,138000,36,10,113000,23,55163.26953125,1,128000,1,,,0,150000,11,150000,110,3,125000,24
AEF,,,5850,29,6800,2872,183,5850,1653,5650,33,6790,1418,160,5650,1085,40,76,9000,228,,,0,5800,7,7380,1661,72,5800,865,10000,10,10000,384,,,0,5980,79,5970,2081,5,4500,3005
AEN,,,2240000,2,2170000,4,,,0,2180000,1,2120000,8,,,0,990267,,,0,,,0,2000000,1,2290000,2,2,1200000,4,990267,,,0,,,0,2600000,1,2700000,1,,,0
AFP,,,30000,,,0,,,0,30000,,,0,,,0,134412.703125,,,0,,,0,30000,,,0,16,40000,16,134412.703125,,,0,,,0,35000,,,0,3,35000,3
AFR,,,26623.48046875,6,27900,25,100,22000,277,20500,,,0,29,20500,181,9504.2998046875,,,0,,,0,21000,,,0,10,18000,30,9504.2998046875,,,0,,,0,22502.76953125,,,0,25,22500,58
AGS,,,490000,1,490000,5,,,0,480000,4,535000,5,,,0,500000,,,0,,,0,795000,6,750000,7,2,450000,2,222767.28125,,,0,,,0,799000,1,799000,2,,,0
AHP,,,11500,173,11500,1773,,,0,14500,121,15000,121,,,0,5713.72021484375,,,0,,,0,16742.26953125,16,16000,2733,10,9510,209,5713.72021484375,,,0,,,0,20000,,,0,,,0
AIR,200000,,200000,10,201000,11,100,200000,100,200000,500,208000,541,100,200000,100,91179.59375,,,0,,,0,200000,2,201000,261,100,200000,100,91179.59375,,,0,,,0,200000,26,210000,30,100,200000,100
AL,,,1430,45,1540,36617,209,1430,35411,1800,56,1800,13244,38,1600,15092,1187.6800537109375,43,1350,8425,2862,1100,8867,1444.699951171875,523,1450,60425,40,1390,21827,1000,2000,1000,10939,,,0,2280,3489,2280,18894,20,1430,6367
ALE,,,1410,2572,1440,55399,209,1410,6366,1746,250,1700,11733,75,1330,1427,1700,640,1700,840,,,0,1350,43,1350,45125,1620,1330,8554,1490,1750,1490,2139,50,1200,64,1320,37,1320,28766,79,1180,4100
ALG,80,,280,1018,307,51259,7865,280,18630,349,1086,349,27872,1159,340,6424,350,1467,350,1787,,,0,329,403,329,22209,1240,256,3625,316,,,0,1000,200,1000,315,215,315,24400,100,262,10194
ALO,42,,211,1000,252,110879,9216,211,84411,334,602,334,46157,644,215,16720,300,380,300,29981,347,183,10695,336,1003,336,111316,1708,250,34477,237.41000366210938,1900,290,1900,1000,201,1400,296,986,295,84980,10,257,37355
ALR,,,2780,300,3000,301,120,700,250,2500,343,2490,3179,,,0,1345.4100341796875,,,0,,,0,1000,1192,3150,7933,754,1110,1254,1345.4100341796875,,,0,,,0,3690,465,3690,2974,500,1000,500
AMM,61,,127,566,159,62544,340,127,9012,143,1103,143,92493,200,120,133664,135,5897,135,5897,100,125,2450,180,1831,180,67562,8,170,45595,160,800,160,800,200,140,5985,192.64999389648438,827,189,50453,20,166,25036
ANZ,,,73626.7109375,1,125000,1,,,0,73626.7109375,1,120000,1,,,0,73626.7109375,,,0,,,0,73626.7109375,,,0,,,0,70600.546875,,,0,,,0,73626.7109375,,,0,,,0
APT,,,14000,312,14000,1601,,,0,19500,132,19400,173,,,0,6945.83984375,,,0,,,0,16500,400,16500,512,,,0,6945.83984375,,,0,,,0,2000,,,0,,,0
AR,83,,538,1121,537,34936,100,515,34534,658,2802,657,15209,300,521,15712,450,,,0,1000,350,2000,550,4832,550,22145,1000,361,10393,700,550,700,2300,400,200,500,539,3500,536,45342,200,510,1709
ARP,,,10000,4,9500,103,,,0,10000,5,10000,5,,,0,4648.6201171875,,,0,,,0,8442.330078125,7,8500,10,,,0,4648.6201171875,,,0,,,0,13000,,,0,,,0
ASE,,,51000,23,53800,1505,50,50300,1079,45025.9296875,17,51900,1837,10,44400,424,55000,17,55000,17,10,33000,10,45300,17,47900,2757,4,45400,633,60000,16,60000,16,,,0,46000,3,54100,863,276,46000,489
AST,,,3200,602,3100,6758,1000,2210,2965,3000,60,3660,6422,120,3000,620,1776.4000244140625,100,10000,100,,,0,3626.02001953125,58,3800,8868,100,3200,2473,2000,100,4740,100,,,0,3650,354,3640,2824,100,1500,100
ATA,,,36100,5,36000,179,100,28000,894,33900,20,34900,226,9,21600,365,28000,,,0,,,0,28368.83984375,17,28300,1115,113,27000,999,38000,24,38000,24,,,0,32000,28,32000,139,2,26600,138
